id,name,node_type
117,银保监会或证监会,Enhanced
118,具体类型,Enhanced
119,《期货交易管理条例》,Enhanced
120,《中华人民共和国保险法》第X条,Enhanced
121,教育部,Enhanced
122,中华人民共和国反洗钱法,Enhanced
123,国务院,Enhanced
124,准备金提取不足,Enhanced
125,物品,Enhanced
126,金融监管问题,Enhanced
127,金融监管处罚的事项,Enhanced
128,无,Enhanced
129,具体条款,Enhanced
130,《中华人民共和国证券法》第X条,Enhanced
131,金融监管批评,Enhanced
132,批评,Enhanced
133,中华人民共和国证券法,Enhanced
134,违规收费,Enhanced
135,风险管理,Enhanced
136,金融监管处罚的相关法律法规,Enhanced
137,行政行为,Enhanced
138,"""金融被监管表扬：未按规定进行信息披露""",Enhanced
139,"""行政处罚""",Enhanced
140,"""证监会""",Enhanced
141,"""《关于规范民间借贷行为的通知》""",Enhanced
142,金融监管责骂,Enhanced
143,行政处罚权力,Enhanced
144,《信托公司管理办法》,Enhanced
145,金融监管责任,Enhanced
146,行政机关,Enhanced
147,中华人民共和国保险法,Enhanced
148,权力类别,Enhanced
149,行政许可,Enhanced
150,行政权力,Enhanced
151,执行主体,Enhanced
152,执行机构,Enhanced
153,法律依据,Enhanced
154,金融监控处罚的原因,Enhanced
155,权力机构,Enhanced
156,保险资金运用错误,Enhanced
157,金融监管相关法规,Enhanced
158,金融监视惩罚,Enhanced
159,空,Enhanced
160,金融指标,Enhanced
161,法律行为,Enhanced
162,银保监个人某监管局,Enhanced
163,体育总局,Enhanced
164,内控制度,Enhanced
165,制度,Enhanced
166,违规关联交易,Enhanced
167,县金融办的行政处罚职能,Enhanced
168,资金池业务错误,Enhanced
169,监管措施,Enhanced
170,金融监管处罚的具体事项,Enhanced
171,金融监管处罚的一种类型,Enhanced
172,未成立的办公室,Enhanced
173,征信业务相关法规,Enhanced
174,执行和处理金融监管,Enhanced
175,实体,Enhanced
176,银监会,Enhanced
177,金融监控责骂,Enhanced
178,《中华人民共和国反洗钱法}',Enhanced
179,法律文件,Enhanced
180,行政处罚类型,Enhanced
181,反洗钱法,Enhanced
182,证监会执行,Enhanced
183,行政处罚的执行者,Enhanced
184,证监个人工作室某监管局,Enhanced
185,高利放贷行为,Enhanced
186,高利放贷处罚,Enhanced
187,金融监视批评,Enhanced
188,权力,Enhanced
189,主体,Enhanced
190,中国人民银行法,Enhanced
191,期货交易管理条例,Enhanced
192,金融监管处罚的一种情况,Enhanced
193,金融监管条例,Enhanced
194,《银行业金融机构反钱和反恐怖主义融资管理办法》,Enhanced
195,金融监管处罚的对象,Enhanced
196,《中华人民共和国中国人民银行法》,Enhanced
197,行为类型,Enhanced
198,《中华人民共和国证券法》或其他相关法律,Enhanced
199,小额贷款公司监督管理条例,Enhanced
200,相关法律法规,Enhanced
201,金融机构,Enhanced
202,关于规范民间借贷行为的通知,Enhanced
203,通知,Enhanced
204,征信业务错误,Enhanced
205,错误,Enhanced
206,融资租赁企业监督管理暂行办法,Enhanced
207,信托公司管理办法,Enhanced
208,组织机构,Enhanced
209,办公室,Enhanced
210,国家外汇管理局,Enhanced
211,实际存在的机构,Enhanced
212,《中华人民共和国银行业监督管理法》第X条,Enhanced
213,反洗钱相关法规,Enhanced
214,相关条款,Enhanced
215,错误收费,Enhanced
216,相关法律条文,Enhanced
217,监管事项,Enhanced
218,行政处罚权,Enhanced
219,银保监会某监管局实施处罚的法律依据,Enhanced
220,行使行政处罚,Enhanced
221,警告,Enhanced
222,罚款,Enhanced
223,没收违法所得,Enhanced
224,实际存在的办公室,Enhanced
225,征信业务,Enhanced
226,属性,Enhanced
227,行使主体,Enhanced
228,《征信业管理条例》,Enhanced
229,征信业务违规的行政处罚,Enhanced
230,《中国人民银行法》,Enhanced
231,错误类型,Enhanced
232,服务类别,Enhanced
233,原因,Enhanced
234,《证券投资基金法》中的相关条款,Enhanced
235,征信业务违规处罚,Enhanced
236,法律措施,Enhanced
237,自身,Enhanced
238,处罚措施,Enhanced
239,条例,Enhanced
240,违规收费行为,Enhanced
241,名词,Enhanced
242,证监个人工作室,Enhanced
243,中华人民共和国商业银行法,Enhanced
244,未知,Enhanced
245,理财业务不好,Enhanced
246,市地方金融监管局行驶,Enhanced
247,市地方金融监管局承办,Enhanced
248,法律条款,Enhanced
249,高利放贷不好行为,Enhanced
250,信贷资金错误流入股市,Enhanced
251,监管类型,Enhanced
252,监管主体,Enhanced
253,法规依据,Enhanced
254,同业业务错误,Enhanced
255,行使主体和承办机构,Enhanced
256,承办,Enhanced
257,行政处罚的具体类型,Enhanced
258,信贷资金不好流入股市,Enhanced
259,中国银保监会,Enhanced
260,处罚类型,Enhanced
261,权力行使主体,Enhanced
262,《中华人民共和国保险法》第XX条,Enhanced
263,金融监管处罚的具体内容,Enhanced
264,金融监督处罚,Enhanced
265,不对放贷,Enhanced
266,《期货交易管理条例》第X条,Enhanced
267,金融监管处罚依据,Enhanced
268,《中华人民共和国商业银行法》第X条,Enhanced
269,实施行政处罚,Enhanced
270,金融监视,Enhanced
271,具体权力类型,Enhanced
272,金融监控责任,Enhanced
273,职责,Enhanced
274,措施,Enhanced
275,《中华人民共和国商业银行法》第XX条,Enhanced
276,无值,Enhanced
277,执行,Enhanced
278,概念,Enhanced
279,理财业务错误,Enhanced
280,中国银行保险监督管理委员会,Enhanced
281,公共服务的权力,Enhanced
282,金融监管处罚的类型,Enhanced
283,机构或部门,Enhanced
284,行政处罚行为,Enhanced
285,无明确主体,Enhanced
286,法律法规引用,Enhanced
