case_id,stream,arm,reason,reference_member,triple
government-27ceaef34223,controlled,base,unsupported,False,"{""head"": ""Document:government-27ceaef34223:对民办学校未按照国家统一的会计制度进行会计核算、编制财务会计报告，财务、资产管理混乱，或者违反法律、法规增加收费项目、提高收费标准的处罚"", ""relation"": ""实施依据"", ""tail"": ""《中华人民共和国民办教育促进法》第六十二条“民办学校有下列行为之一的，由县级以上人民政府教育行政部门、人力资源社会保障行政部门或者其他有关部门责令限期改正，并予以警告；有违法所得的，退还所收费用后没收违法所得；情节严重的，责令停止招生、吊销办学许可证；构成犯罪的，依法追究刑事责任:（一）擅自分立、合并民办学校的；（二）擅自改变民办学校名称、层次、类别和举办者的；（三）公布虚假招生简章或者广告，骗取钱财的；（四）非法颁发或者伪造学历证书、结业证书、培训证书、职业资格证书的；（五）管理混乱严重影响教育教学，产生恶劣社会影响的；（六）提交虚假证明文件或者采取其他欺诈手段隐瞒重要事实骗取办学许可证的；（七）伪造、变造、买卖、出租。""}"
government-123148e99b2a,natural,base,unsupported,False,"{""head"": ""Document:government-123148e99b2a:对未按规定配备与其规模相适应的医疗器械质量管理机构或者质量管理人员，或者未按规定建立覆盖质量管理全过程的使用质量管理制度的；未按规定由指定的部门或者人员统一采购医疗器械的；购进、使用未备案的第一类医疗"", ""relation"": ""服务事项"", ""tail"": ""对未按规定配备与其规模相适应的医疗器械质量管理机构或者质量管理人员，或者未按规定建立覆盖质量管理全过程的使用质量管理制度的；未按规定由指定的部门或者人员统一采购医疗器械的；购进、使用未备案的第一类医疗器械，或者从未备案的经营企业购进第二类医疗器械的；贮存医疗器械的场所、设施及条件与医疗器械品种、数量不相适应的，或者未按照贮存条件、医疗器械有效期限等要求对贮存的医疗器械进行定期检查并记录的；未按规定建立、执行医疗器械使用前质量检查制度的；未按规定索取、保存医疗器械维护维修相关记录的；未按规定对其本单位从事医疗器械维护维修的相关技术人员进行培训考核、建立培训档案的；未按规定对其医疗器械质量管理工作进行自查、形成自查报告的行政处罚。""}"
government-2fc4dd65e576,natural,diagnosis,unsupported,False,"{""head"": ""Document:government-2fc4dd65e576:对鉴定人和鉴定机构违法行为的行政处罚"", ""relation"": ""实施依据"", ""tail"": ""《陕西省司法鉴定管理条例》(陕西省人民代表大会常务委员会公告【十一届】第35号)第四十九条""}"
government-2fc4dd65e576,natural,diagnosis,unsupported,False,"{""head"": ""Document:government-2fc4dd65e576:对鉴定人和鉴定机构违法行为的行政处罚"", ""relation"": ""责任事项"", ""tail"": ""立案责任、调查责任、审理责任、告知责任""}"
government-1d0146f05f63,natural,diagnosis,unsupported,False,"{""head"": ""Document:government-1d0146f05f63:工伤认定"", ""relation"": ""实施依据"", ""tail"": ""《工伤保险条例》（2003年4月27日国务院令第375号公布，2010年12月20日国务院令第586号修订）第五条、第十七条""}"
government-2fc4dd65e576,natural,shacl_context,unsupported,False,"{""head"": ""Document:government-2fc4dd65e576:对鉴定人和鉴定机构违法行为的行政处罚"", ""relation"": ""实施依据"", ""tail"": ""《陕西省司法鉴定管理条例》(陕西省人民代表大会常务委员会公告【十一届】第35号)第四十九条""}"
government-3235e3648e32,natural,diagnosis,unsupported,False,"{""head"": ""Document:government-3235e3648e32:对未取得生鲜乳收购许可证收购生鲜乳的；或生鲜乳收购站取得生鲜乳收购许可证后，不再符合许可条件继续从事生鲜乳收购的；或生鲜乳收购站收购本条例第二十四条规定禁止收购的生鲜乳的行政处罚"", ""relation"": ""责任事项"", ""tail"": ""1.立案阶段责任：发现涉嫌违法的行为应在7日内（特殊情况经批准可延长7日）予以核查，决定是否立案。 2.调查阶段责任：对立案的案件，指定专人负责，执法人员不得少于两人，与当事人有直接利害关系的应当回避。调查时出设执法证件，允许当事人辩解陈述；行政机关在收集证据时，在证据可能灭失或者以后难以取得的情况下，经行政机关负责人批准，可以先行登记保存，并应当在7日内及时作出处理决定，在此期间，当事人或者有关人员不得销毁或者转移证据，询问或检查应制作笔录。 3.审查阶段责任：对案件的违法事实、收集的证据、办案程序、法律适用、处罚种类和幅度、当事人陈述申辩理由等进行审查，提出处理意见。 4.告知阶段责任：作出行政处罚前，书面告知相对人作出行政处罚""}"
government-2b05bdf976f6,natural,diagnosis,wrong_head,False,"{""head"": ""Document:government-2b05bdf976f6:对违反通过网络社交、网络直播等网络服务开展网络交易活动的网络交易经营者，应当以显著方式展示商品或者服务及其实际经营主体、售后服务等信息，或者上述信息的链接标识"", ""relation"": ""服务事项"", ""tail"": ""对违反通过网络社交、网络直播等网络服务开展网络交易活动的网络交易经营者，应当以显著方式展示商品或者服务及其实际经营主体、售后服务等信息，或者上述信息的链接标识；网络直播服务提供者对网络交易活动的直播视频保存时间自直播结束之日起不少于三年的规定的行政处罚""}"
government-2b05bdf976f6,natural,diagnosis,wrong_head,False,"{""head"": ""Document:government-2b05bdf976f6:对违反通过网络社交、网络直播等网络服务开展网络交易活动的网络交易经营者，应当以显著方式展示商品或者服务及其实际经营主体、售后服务等信息，或者上述信息的链接标识"", ""relation"": ""权力类型"", ""tail"": ""行政处罚""}"
government-2b05bdf976f6,natural,diagnosis,wrong_head,False,"{""head"": ""Document:government-2b05bdf976f6:对违反通过网络社交、网络直播等网络服务开展网络交易活动的网络交易经营者，应当以显著方式展示商品或者服务及其实际经营主体、售后服务等信息，或者上述信息的链接标识"", ""relation"": ""行驶主体"", ""tail"": ""西安市市场监督管理局""}"
government-2b05bdf976f6,natural,diagnosis,wrong_head,False,"{""head"": ""Document:government-2b05bdf976f6:对违反通过网络社交、网络直播等网络服务开展网络交易活动的网络交易经营者，应当以显著方式展示商品或者服务及其实际经营主体、售后服务等信息，或者上述信息的链接标识"", ""relation"": ""承办机构"", ""tail"": ""综合执法支队""}"
government-2b05bdf976f6,natural,diagnosis,wrong_head,False,"{""head"": ""Document:government-2b05bdf976f6:对违反通过网络社交、网络直播等网络服务开展网络交易活动的网络交易经营者，应当以显著方式展示商品或者服务及其实际经营主体、售后服务等信息，或者上述信息的链接标识"", ""relation"": ""实施依据"", ""tail"": ""《网络交易监督管理办法》（国家市场监督管理总局令第37号发布，2021.05.01施行） 第四十五条 网络交易经营者违反本办法第二十条，法律、行政法规有规定的，依照其规定；法律、行政法规没有规定的，由市场监督管理部门责令限期改正；逾期不改正的，处一万元以下罚款。 第二十条 通过网络社交、网络直播等网络服务开展网络交易活动的网络交易经营者，应当以显著方式展示商品或者服务及其实际经营主体、售后服务等信息，或者上述信息的链接标识。 网络直播服务提供者对网络交易活动的直播视频保存时间自直播结束之日起不少于三年。。""}"
government-2b05bdf976f6,natural,diagnosis,wrong_head,False,"{""head"": ""Document:government-2b05bdf976f6:对违反通过网络社交、网络直播等网络服务开展网络交易活动的网络交易经营者，应当以显著方式展示商品或者服务及其实际经营主体、售后服务等信息，或者上述信息的链接标识"", ""relation"": ""监管电话"", ""tail"": ""029-87823020""}"
government-2b05bdf976f6,natural,diagnosis,wrong_head,False,"{""head"": ""Document:government-2b05bdf976f6:对违反通过网络社交、网络直播等网络服务开展网络交易活动的网络交易经营者，应当以显著方式展示商品或者服务及其实际经营主体、售后服务等信息，或者上述信息的链接标识"", ""relation"": ""责任事项"", ""tail"": ""1.立案阶段责任：对经核查有证据初步证明存在违反市场监督管理法律、法规、规章的行为，应当立案查处。 2.调查阶段责任：市场监管部门决定立案查处的案件，应指定两名以上具有行政执法资格的办案人员负责调查处理。办案人员应当全面、客观、公正、及时进行案件调查，收集、调取证据，并依照法律、法规、规章的规定进行检查。 3.审查阶段责任：市场监管部门根据调查取证结果，对案件违法事实、依据、调查取证程序、法律适用、处罚种类和幅度、当事人陈述和申辩理由等方面进行审查，提出处理意见。 4.决定阶段责任：调查审查结束后，调查人员应当将调查审查情况及处理意见报市场监督管理部门负责人审批。情节复杂或者重大违法行为在负责人作出行政处罚决定前应当进行法制审核。""}"
government-0aada7eebec8,natural,shacl_context,wrong_head,False,"{""head"": ""Document:government-0aada7eebec8:对广告内容违反《中华人民广告法》第八条规定的;广告引证内容违反《中华人民广告法》第十一条规定的；涉及专利的广告违反《中华人民广告法》第十二条规定的；广告贬低其他生产经营者的商品或者服务的；广告经营者、"", ""relation"": ""承办机构"", ""tail"": ""综合执法支队""}"
government-2fc4dd65e576,natural,base,unsupported,False,"{""head"": ""Document:government-2fc4dd65e576:对鉴定人和鉴定机构违法行为的行政处罚"", ""relation"": ""实施依据"", ""tail"": ""《陕西省司法鉴定管理条例》(陕西省人民代表大会常务委员会公告【十一届】第35号)第四十九条""}"
government-2fc4dd65e576,natural,base,unsupported,False,"{""head"": ""Document:government-2fc4dd65e576:对鉴定人和鉴定机构违法行为的行政处罚"", ""relation"": ""责任事项"", ""tail"": ""立案责任、调查责任、审理责任、告知责任""}"
