id,domain,exp,triple,qwen_score,gemma_score
31,environment,Exp2,水利局 --[承办机构]-> 环境执法处罚,0.2,0.2
32,government,Exp2,西安市市场监督管理局 --[行使权力]-> 行政处罚,1.0,0.6
33,environment,Exp3,承办机构 --[是]-> 镇环保所,0.8,0.2
34,environment,Exp2,实施依据 --[来自]-> 《危险废物经营许可证管理办法》,0.4,1.0
35,finance,Exp3,权力类型 --[等同于]-> 行政处罚,0.4,0.2
36,finance,Exp2,行政处罚 --[实施依据]-> 《中华人民共和国反洗钱法》,1.0,1.0
37,environment,Exp3,行政处罚 --[权力类型]-> 环境执法处罚,0.4,0.4
38,environment,Exp3,环境执法处罚 --[类型]-> 行政处罚,1.0,0.4
39,government,Exp2,承办机构 --[是]-> 县（区）生态环境保护综合执法大队,0.8,0.0
40,environment,Exp3,建设项目未批先建 --[是]-> 环境执法处罚的对象,1.0,1.0
41,government,Exp2,安装、拆卸人员名单 --[报]-> 监理单位,1.0,0.2
42,finance,Exp3,证监会某监管局 --[行驶主体]-> 金融监管处罚,0.8,0.2
43,environment,Exp3,实施依据 --[依据]-> 中华人民共和国水污染防治法,1.0,1.0
44,environment,Exp2,相关文件 --[是]-> 《已废止的某某规定》,0.4,1.0
45,finance,Exp3,外汇管理局 --[类型]-> 行政机关,1.0,1.0
46,government,Exp3,文物收藏单位 --[备案给]-> 主管的文物行政部门,1.0,1.0
47,government,Exp2,实施依据 --[来源于]-> 第七十六条第一项,0.8,0.4
48,finance,Exp2,金融监管处罚 --[涉及事项]-> 资金池业务违规,1.0,1.0
49,finance,Exp2,承办机构 --[是]-> 证监会,0.2,0.0
50,finance,Exp2,实施依据 --[是]-> 《小额贷款公司监督管理条例》,0.4,1.0
51,environment,Exp2,"行驶主体 --[是]-> ""自然资源局""",0.2,0.0
52,finance,Exp3,金融监管处罚 --[涉及领域]-> 征信业务违规,1.0,0.4
53,government,Exp2,生产者 --[违反]-> 规定,0.8,0.0
54,government,Exp2,实施依据 --[包括]-> 《中华人民共和国安全生产法》,0.8,1.0
55,finance,Exp2,行政处罚 --[权力类型]-> 金融监管处罚,1.0,0.2
56,finance,Exp2,权力类型 --[是]-> 行政处罚,0.4,0.4
57,finance,Exp3,银保监会 --[依据]-> 《银行业金融机构反洗钱和反恐怖主义融资管理办法》,1.0,1.0
58,government,Exp3,服务事项 --[类型]-> 行政处罚事项,0.4,0.4
59,environment,Exp2,实施依据 --[是]-> 《中华人民共和国固体废物污染环境防治法》,0.8,1.0
60,government,Exp3,《中华人民共和国药品管理法》 --[规定]-> 医疗机构将其配制的制剂在市场上销售的处罚,1.0,1.0
61,environment,Exp3,生态环境综合执法支队 --[类型]-> 机构,1.0,1.0
62,finance,Exp3,金融监管处罚 --[针对]-> 同业业务违规,1.0,0.2
63,environment,Exp3,实施依据 --[是]-> VOCs治理设施未正常运行的法律基础,0.4,0.2
64,government,Exp3,重点用能工业企业 --[类型]-> 企业,1.0,1.0
65,environment,Exp3,权力类型 --[是]-> 行政处罚,0.4,0.4
66,finance,Exp3,金融监管处罚 --[依据]-> 《信托公司管理办法》,0.8,1.0
67,finance,Exp2,承办机构 --[是]-> 证监会,0.2,0.0
68,finance,Exp2,实施依据 --[是]-> 《中华人民共和国证券法》,0.8,1.0
69,government,Exp2,娱乐场所 --[未按照本条例规定建立从业人员名簿]-> 给予警告,0.6,0.4
70,finance,Exp2,权力类型 --[是]-> 行政处罚,0.4,0.4
71,government,Exp3,西安市卫生健康委员会 --[包含]-> 医政医管处,0.8,1.0
72,government,Exp3,西安市市场监督管理局 --[实施依据]-> 《规范促销行为暂行规定》,1.0,1.0
73,environment,Exp3,林业局 --[行驶主体]-> 环境执法处罚,0.4,0.4
74,government,Exp2,西安市卫生健康委员会 --[权力类型]-> 行政检查,1.0,1.0
75,environment,Exp3,承办机构 --[是]-> 省生态环境厅,0.8,0.0
76,finance,Exp3,金融监管处罚 --[涉及问题]-> 准备金提取不足,1.0,1.0
77,finance,Exp2,金融监管处罚 --[服务事项]-> 欺诈发行,0.2,0.0
78,environment,Exp3,畜禽粪污直排入河 --[涉及事项]-> 环境执法处罚,1.0,1.0
79,finance,Exp3,金融监管处罚 --[涉及事项]-> 资金池业务违规,1.0,1.0
80,government,Exp2,"买卖或者伪造、变造《报废汽车回收证明} --[关系]-> 属报废汽车回收企业,情节严重的,由原审批发证部门分别吊销《资格认定书》、《特种行业许可证》、营业执照",0.6,0.4
81,finance,Exp2,行政处罚 --[实施依据]-> 《关于规范民间借贷行为的通知》,0.8,0.4
82,finance,Exp2,行驶主体 --[是]-> 中国人民银行,0.0,0.0
83,finance,Exp3,行政处罚 --[权力类型]-> 金融监管处罚,0.4,0.2
84,finance,Exp3,资金池业务违规 --[类型]-> 违规行为,0.8,1.0
85,government,Exp2,出租、转让频率、频段，擅自变更广播电视发射台、转播台技术参数 --[违反]-> 《广播电视管理条例》,1.0,0.2
86,government,Exp2,城市管理部门 --[督促]-> 改正,1.0,0.4
87,government,Exp3,五千元以上一万元以下罚款 --[没收]-> 违法所得,0.4,0.2
88,finance,Exp3,《银行业金融机构反洗钱和反恐怖主义融资管理办法》 --[实施依据]-> 行政处罚,0.8,0.2
89,finance,Exp2,承办机构 --[是]-> 省地方金融监管局,0.2,0.0
90,environment,Exp2,行政处罚 --[权力类型]-> 环境执法处罚,1.0,0.4
91,finance,Exp3,金融监管处罚 --[依据]-> 《期货交易管理条例》,1.0,1.0
92,government,Exp3,《建设工程质量管理条例》 --[发布]-> 国务院令第279号,0.4,0.0
93,finance,Exp3,行政处罚 --[针对]-> 挪用客户资金,1.0,0.2
94,environment,Exp2,环境执法处罚 --[实施依据]-> 《中华人民共和国水污染防治法》,1.0,1.0
95,government,Exp3,西安市交通运输局 --[行使]-> 公路超限运输许可,0.8,1.0
96,environment,Exp2,"承办机构 --[是]-> VOCs治理设施未正常运行的,主体",0.6,0.2
97,government,Exp3,环境卫生管理处 --[类型]-> 部门,1.0,1.0
98,environment,Exp2,环境执法处罚 --[服务事项]-> 固体废物乱堆乱放,0.4,0.2
99,government,Exp3,实施依据 --[来源]-> 国家旅游局令第30号发布2016年12月国家旅游局令第42号第二次修改,0.6,0.4
100,government,Exp2,用人单位 --[违反]-> 《人才市场管理规定》,1.0,0.4
101,government,Exp3,旅行社 --[类型]-> 旅行社,0.4,0.0
102,government,Exp2,擅自转移、使用、销毁、销售被查封或者扣押的兽药及有关材料 --[违法行为]-> 行政处罚,1.0,0.4
103,government,Exp2,承办机构 --[是]-> 管理部,0.6,0.0
104,finance,Exp3,实施依据 --[是]-> 《中华人民共和国商业银行法》,0.8,1.0
105,finance,Exp2,金融监管处罚 --[涉及事项]-> 操纵市场价格,1.0,1.0
106,government,Exp2,各业务部门 --[是]-> 承办机构,0.8,0.4
107,finance,Exp3,省地方金融监管局 --[负责]-> 行政处罚,1.0,0.4
108,environment,Exp2,行驶主体 --[是]-> 环境监测站,0.0,0.0
109,government,Exp2,船舶、浮动设施 --[未持有]-> 登记证书,0.8,0.4
110,government,Exp2,西安市人力资源和社会保障局 --[行使主体]-> 行政处罚,0.8,1.0
111,government,Exp3,中华人民共和国安全生产法 --[依据]-> 全国人大常委会,0.4,0.2
112,government,Exp3,违反本条例规定 --[行为之一]-> 在城市广场,0.4,0.2
113,environment,Exp3,环境执法处罚 --[由]-> 水利局,0.4,0.2
114,environment,Exp2,应急管理局 --[行驶主体]-> 环境执法处罚,0.2,0.0
115,government,Exp2,颁发测绘资质证书的部门 --[决定]-> 降低测绘资质等级,1.0,0.2
116,government,Exp2,未取得药品生产许可证 --[导致]-> 行政责骂,0.4,0.2
117,government,Exp3,工商行政管理机关 --[处罚]-> 暂停发布医疗广告,1.0,0.4
118,environment,Exp2,权力类型 --[是]-> 行政处罚,0.4,0.4
119,government,Exp2,西安市卫生健康委员会 --[行使主体]-> 服务事项,0.8,0.4
120,government,Exp3,赌博 --[类型]-> 法律或法规,0.2,0.2
121,finance,Exp2,承办机构 --[是]-> 省地方金融监管局,0.0,0.2
122,environment,Exp3,环境执法处罚 --[针对]-> 偷排偷放污染物,1.0,0.4
123,finance,Exp2,银保监会某监管局 --[承办机构]-> 金融监管处罚,0.8,0.8
124,finance,Exp3,虚假陈述 --[类型]-> 违法行为,1.0,1.0
125,government,Exp3,承办机构 --[是]-> 综合执法支队,0.4,0.4
126,government,Exp3,西安市人力资源和社会保障局 --[管理]-> 劳动保障监察执法处,1.0,1.0
127,environment,Exp2,环境执法处罚 --[实施依据]-> 《建设项目环境保护管理条例》,0.4,1.0
128,government,Exp3,医政医管处 --[承办机构]-> 行政处罚,0.8,0.4
129,environment,Exp2,"服务事项 --[包括]-> ""环境执法处罚：恶臭污染扰民""",0.4,0.8
130,environment,Exp3,某镇环保站 --[类型]-> 镇级环保机构,1.0,0.6
131,environment,Exp3,环境应急中心 --[是]-> 实施依据来源,0.2,0.0
132,environment,Exp2,环境执法处罚 --[服务事项]-> 超标排放废水,0.2,0.2
133,environment,Exp3,环境执法处罚 --[服务事项]-> 畜禽粪污直排入河,0.4,0.2
134,finance,Exp3,服务事项 --[是]-> 金融监管处罚,0.4,0.2
135,environment,Exp2,"行驶主体 --[是]-> ""环境监察支队""",0.0,0.0
136,environment,Exp3,环境执法处罚 --[实施依据]-> 《中华人民共和国环境保护法》,1.0,1.0
137,finance,Exp2,金融监管处罚 --[涉及事项]-> 同业业务违规,1.0,0.6
138,government,Exp3,服务事项 --[包括]-> 对医疗机构及有医疗卫生人员执业证书的人员未取得药品批准证明文件生产、进口药品,0.4,0.2
139,government,Exp2,西安市交通运输综合执法支队 --[承办机构]-> 行政处罚,0.4,0.8
140,environment,Exp3,环境执法处罚 --[类型]-> 行政处罚,1.0,0.4
141,finance,Exp2,金融监管处罚 --[实施依据]-> 《中华人民共和国保险法》,1.0,1.0
142,environment,Exp3,权力类型 --[是]-> 行政处罚,0.4,0.4
143,finance,Exp3,行驶主体 --[类型]-> 主体,0.2,0.0
144,finance,Exp3,外汇管理局 --[类型]-> 行政机关,1.0,1.0
145,environment,Exp2,环境执法处罚 --[涉及]-> 恶臭污染扰民,1.0,0.4
146,government,Exp2,《陕西省道路运输管理条例》 --[规定]-> 客运班车应当张贴票价表,1.0,1.0
147,finance,Exp2,实施依据 --[是]-> 《期货交易管理条例》,1.0,1.0
148,environment,Exp3,服务事项 --[包括]-> 环境执法处罚：土壤污染未修复,0.4,0.4
149,finance,Exp2,金融监管处罚 --[包括]-> 资金池业务违规,1.0,0.4
150,environment,Exp2,实施依据 --[是]-> 《中华人民共和国环境影响评价法》,0.8,1.0
151,government,Exp2,中华人民共和国水土保持法 --[实施依据]-> 水土保持设施验收备案,1.0,1.0
152,government,Exp3,《中华人民共和国药品管理法》 --[修订时间]-> 2019年,1.0,0.8
153,environment,Exp3,环境执法处罚 --[实施依据]-> 《排污许可管理条例》,1.0,1.0
154,government,Exp3,综合监督处 --[承办机构]-> 服务事项,1.0,0.4
155,finance,Exp3,金融监管处罚 --[是]-> 行政处罚,1.0,1.0
156,environment,Exp3,"行驶主体 --[是]-> ""生态环境综合执法支队""",0.0,0.0
157,government,Exp3,实施依据 --[来自]-> 《国务院关于第六批取消和调整行政审批项目的决定》,1.0,1.0
158,finance,Exp2,实施依据 --[是]-> 《信托公司管理办法》,0.8,1.0
159,government,Exp3,施工 --[参与]-> 服务事项,0.4,0.2
160,government,Exp2,经营性人力资源服务机构 --[备案内容]-> 人力资源供求信息的收集和发布,1.0,1.0
161,government,Exp2,《中华人民共和国道路交通安全法》 --[规定]-> 公安机关交通管理部门,1.0,0.6
162,government,Exp3,有下列行为之一 --[类型]-> 行为,0.6,0.4
163,finance,Exp2,承办机构 --[是]-> 中国人民银行,0.2,0.0
164,government,Exp2,工会组织 --[依法维护]-> 职工的年休假权利,1.0,1.0
165,environment,Exp2,生态环境部 --[承办机构]-> 环境执法处罚,1.0,0.4
166,environment,Exp2,"行驶主体 --[是]-> ""市生态环境局""",0.0,0.0
167,finance,Exp2,中国人民银行某分行 --[承办机构]-> 金融监管处罚,0.4,0.4
168,environment,Exp2,镇环保所 --[是]-> 行驶主体,0.2,0.0
169,government,Exp3,市农业综合执法支队 --[承办机构]-> 服务事项,0.6,0.8
170,finance,Exp3,证监会某监管局 --[承办机构]-> 行政处罚,1.0,0.8
171,finance,Exp2,证监会某监管局 --[承办机构]-> 金融监管处罚,1.0,0.4
172,finance,Exp2,行政处罚 --[执行主体]-> 中国人民银行某分行,1.0,1.0
173,government,Exp2,承办机构 --[是]-> 燃气热力管理处,0.8,0.2
174,environment,Exp2,实施依据 --[是]-> 《中华人民共和国环境保护法》,1.0,1.0
175,finance,Exp3,操纵市场价格 --[类型]-> 违法行为,1.0,1.0
176,finance,Exp3,银保监会某监管局 --[承办机构]-> 行政处罚,0.8,0.8
177,environment,Exp3,承办机构 --[类型]-> 组织机构,0.8,0.4
178,finance,Exp2,承办机构 --[是]-> 中国人民银行,0.4,0.0
179,government,Exp2,服务事项 --[涉及]-> 施工单位,0.8,0.8
180,environment,Exp3,水利局 --[执行]-> 环境执法处罚,0.4,0.4
