domain,exp,triple,qwen_score,gemma_score,gemma_reason
government,Exp3,行驶主体 --[是]-> 西安市市场监督管理局,0.2,0.0,语义逻辑错误。'行驶主体'通常指车辆或驾驶人，而'西安市市场监督管理局'是行政管理机关，两者之间不存在'是'的等价关系，属于主体与客体完全错位的逻辑错误。
government,Exp3,文物收藏单位 --[备案给]-> 主管的文物行政部门,1.0,1.0,符合文物管理法律法规要求。根据《文物保护法》及相关规定，文物收藏单位应当向其行政主管部门办理备案手续，关系表述准确，符合政务逻辑。
government,Exp3,《中华人民共和国药品管理法》 --[修订时间]-> 2019年,1.0,0.8,《中华人民共和国药品管理法》最近一次大规模修订是在2019年（2019年8月22日通过，2019年12月1日起施行），表述基本准确，但严格意义上应区分‘修订年份’与‘施行年份’，且法律修订具有周期性，仅标注单一年份可能存在时效性局限。
government,Exp3,五千元以上一万元以下罚款 --[没收]-> 违法所得,0.4,0.2,语义逻辑错误。'五千元以上一万元以下罚款'属于行政处罚的金额标准，是处罚的结果或量刑依据，而'没收违法所得'是另一种独立的行政处罚手段。两者之间不存在'没收'的动作关系，罚款金额不能去'没收'违法所得。
government,Exp3,重点用能工业企业 --[类型]-> 企业,1.0,1.0,三元组语义逻辑正确。'重点用能工业企业'是'企业'这一大类概念下的一个具体子类型，关系表述符合政务统计与分类常识。
government,Exp3,西安市卫生健康委员会 --[包含]-> 医政医管处,0.8,1.0,符合政务机构设置逻辑，医政医管处作为西安市卫健委的内设机构，使用“包含”关系描述其隶属/组成关系是准确的。
government,Exp3,市农业综合执法支队 --[承办机构]-> 服务事项,0.6,0.8,语义逻辑基本合理，但在政务知识图谱中，‘承办机构’通常用于描述具体政务服务事项的办理主体，而‘支队’作为执法机构，其职能更多体现为‘监管’或‘执法’。若该事项属于行政许可或行政审批类事项，使用‘承办机构’是准确的；若属于行政处罚或监督检查类，表述略显宽泛。
government,Exp3,西安市交通运输局 --[行使]-> 公路超限运输许可,0.8,1.0,西安市交通运输局作为地方行政主管部门，依法行使公路超限运输许可的行政审批职权，符合政务常识和行政审批逻辑。
government,Exp3,施工 --[参与]-> 服务事项,0.4,0.2,语义逻辑错误。'施工'属于具体的工程活动或行为过程，而'服务事项'是政务审批或公共服务的对象。在政务逻辑中，施工通常是服务事项（如建筑工程许可）的后续行为或结果，而非'参与'服务事项。主谓宾关系错位，无法体现政务业务的逻辑关联。
government,Exp3,市应急管理综合执法支队 --[类型]-> 执法机构,0.8,1.0,该三元组语义逻辑正确。市应急管理综合执法支队属于行政执法部门，将其类型定义为“执法机构”符合政务常识和行政分类逻辑。
government,Exp3,《中华人民共和国药品管理法》 --[规定]-> 医疗机构将其配制的制剂在市场上销售的处罚,1.0,1.0,三元组语义逻辑正确。法律法规作为规范性文件，对违反法律的行为（如医疗机构违规销售制剂）设定处罚措施，符合政务逻辑与法律常识。
government,Exp3,中华人民共和国安全生产法 --[依据]-> 全国人大常委会,0.4,0.2,语义逻辑颠倒。在政务逻辑中，应是‘全国人大常委会依据《中华人民共和国安全生产法》进行立法或监督’，或者‘《中华人民共和国安全生产法》由全国人大常委会制定’。当前三元组表达的是‘法律依据机构’，这违背了法律效力来源的常识，法律是规范，人大是立法主体，两者之间是‘制定’或‘通过’的关系，而非‘依据’关系。
government,Exp3,环境卫生管理处 --[类型]-> 部门,1.0,1.0,该三元组语义逻辑正确，'环境卫生管理处'属于具体的行政或事业机构名称，其'类型'属性为'部门'符合政务常识和分类逻辑。
government,Exp3,服务事项 --[类型]-> 行政处罚事项,0.4,0.4,语义逻辑错误。‘行政处罚事项’本身就是‘服务事项’的一种特定类型或子集，但在政务知识图谱中，‘服务事项’通常指代‘政务服务事项’（即行政许可、公共服务等），而‘行政处罚’属于行政强制执行范畴，两者在政务逻辑上属于并列或不同的业务分类，不能通过‘类型’关系将处罚事项归为服务事项的类型。
government,Exp3,工商行政管理机关 --[处罚]-> 暂停发布医疗广告,1.0,0.4,行政职能错位。工商行政管理机关（现已整合为市场监督管理部门）主要负责市场准入、监督管理及行政处罚，而‘暂停发布医疗广告’属于内容监管与行政许可范畴，通常由卫生健康行政部门或广电/新闻出版部门依据《广告法》进行监管或由市场监管部门依据其职权执行，但‘暂停发布’更多体现为一种监管指令或行政强制措施，且在政务逻辑中，工商部门对‘医疗广告’的直接处罚对象应是‘广告发布者’或‘广告经营者’，而非直接对‘发布行为’本身进行抽象处罚，语义逻辑不够严密。
government,Exp3,行驶主体 --[是]-> 某村委会,0.4,0.0,语义逻辑错误。'行驶主体'通常指车辆、船舶或航空器等交通工具的驾驶者或运营者，而'某村委会'是基层群众性自治组织，属于行政/自治管理主体，两者在语义上完全不匹配，不存在'是'的关系。
government,Exp3,西安市市场监督管理局 --[实施依据]-> 《规范促销行为暂行规定》,1.0,1.0,三元组语义逻辑正确。西安市市场监督管理局作为行政执法部门，依据国家颁布的法律法规（《规范促销行为暂行规定》）开展行政执法活动，关系表述准确，符合政务常识。
government,Exp3,旅行社 --[类型]-> 旅行社,0.4,0.0,语义逻辑错误。'类型'属性应指向具体的分类标签（如：国内旅行社、国际旅行社等），而非指向实体自身，该三元组构成了逻辑上的循环定义，不具备实际的知识图谱语义价值。
government,Exp3,《建设工程质量管理条例》 --[发布]-> 国务院令第279号,0.4,0.0,语义逻辑错误。'国务院令第279号'是发布该条例的行政行为/法律依据，而非被发布的主体。正确的逻辑应该是'国务院'通过'国务院令第279号'发布了'《建设工程质量管理条例》'，原三元组将法律文件与发布文号的关系颠倒了。
government,Exp3,有下列行为之一 --[类型]-> 行为,0.6,0.4,该三元组属于典型的知识图谱构建过程中的中间逻辑节点或占位符，而非具有实际政务语义的知识。在政务知识图谱中，'有下列行为之一'属于引导性短语，而非标准的关系谓语（Predicate），且'行为'作为宾语过于宽泛，缺乏具体的政务实体属性，不符合政务知识图谱的语义规范。
government,Exp3,实施依据 --[来自]-> 《国务院关于第六批取消和调整行政审批项目的决定》,1.0,1.0,三元组语义逻辑正确。在政务知识图谱中，行政审批事项的‘实施依据’通常来源于上级政府发布的规范性文件，该关系准确描述了政策文件与具体行政行为之间的支撑关系。
government,Exp3,承办机构 --[是]-> 综合执法支队,0.4,0.4,语义逻辑存在错位。'承办机构'通常是业务流程中的一个属性或角色，而'综合执法支队'是一个具体的行政执法机构。在知识图谱中，应表述为'综合执法支队 --[是]-> 承办机构'（指明该机构的属性）或者'某项业务 --[由]-> 综合执法支队 --[承办]'，原三元组将角色作为主体，机构作为宾语，逻辑颠倒。
government,Exp3,违反本条例规定 --[行为之一]-> 在城市广场,0.4,0.2,语义逻辑严重错位。'违反本条例规定'属于法律行为性质的描述，而'在城市广场'属于地理空间位置描述，两者之间无法构成'行为之一'的逻辑关系，三元组缺乏实质性的政务语义。
government,Exp3,实施依据 --[来源]-> 国家旅游局令第30号发布2016年12月国家旅游局令第42号第二次修改,0.6,0.4,实施依据的属性值表述存在严重的语义逻辑问题，将‘发布时间’、‘文件名称’与‘修改记录’混杂在一起，缺乏清晰的结构化表述，不符合政务知识图谱对规范化术语的要求。
finance,Exp2,行政处罚 --[权力类型]-> 金融监管处罚,1.0,0.2,语义逻辑错误。'行政处罚'是法律行为或处罚种类，'金融监管处罚'是该行为在特定领域的具体表现，两者属于包含关系或范畴关系，而非'权力类型'这一属性关系。三元组试图将一个具体的业务概念定义为一种权力类型，不符合知识图谱的本体逻辑。
finance,Exp2,金融监管处罚 --[涉及事项]-> 同业业务违规,1.0,0.6,语义逻辑存在偏差。'金融监管处罚'通常是一个动作或结果，而'涉及事项'通常用于描述处罚的具体内容或违规行为。在知识图谱中，更准确的关系应该是'金融监管处罚 --[处罚原因/违规事项]-> 同业业务违规'，或者'同业业务违规 --[导致]-> 金融监管处罚'。目前的表述将处罚结果与违规事实通过'涉及事项'连接，在语义层面上略显生硬，存在逻辑倒置的歧义。
finance,Exp2,承办机构 --[是]-> 证监会,0.2,0.0,语义逻辑错误。证监会（中国证券监督管理委员会）是国家金融监管机构，属于行政管理机关，而非由其他机构‘承办’的对象。在金融语境下，‘承办机构’通常指执行具体业务或项目的执行方，而证监会是规则制定者和监管者，两者之间不存在‘承办机构是证监会’的逻辑关系。
finance,Exp2,金融监管处罚 --[涉及事项]-> 资金池业务违规,1.0,1.0,三元组语义逻辑清晰，‘涉及事项’准确描述了监管处罚行为的具体违规内容，符合金融监管语境下的术语使用规范。
finance,Exp2,实施依据 --[是]-> 《中华人民共和国证券法》,0.8,1.0,语义逻辑完全正确。在金融知识图谱中，法律法规作为监管行为或业务开展的‘实施依据’，其关系表述符合法律逻辑与金融监管常识。
finance,Exp2,实施依据 --[是]-> 《小额贷款公司监督管理条例》,0.4,1.0,语义逻辑正确。在金融知识图谱中，法律法规作为行政行为或监管措施的‘实施依据’是标准且合理的逻辑关系，符合金融监管的规范表述。
finance,Exp2,行驶主体 --[是]-> 银保监会某监管局,0.2,0.0,语义完全错误。'行驶主体'属于交通运输领域术语，与金融监管机构'银保监会某监管局'之间不存在任何逻辑或语义上的关联，属于领域错配。
finance,Exp2,承办机构 --[是]-> 中国人民银行,0.4,0.0,语义逻辑错误。'承办机构'是一个功能性角色或临时性身份，而非一种实体属性或分类；中国人民银行是国家中央银行，属于监管与宏观调控机构，不能被定义为某个‘承办机构’，两者在语义上不匹配。
finance,Exp2,中国人民银行某分行 --[承办机构]-> 金融监管处罚,0.4,0.4,语义逻辑不准确。'承办机构'通常用于描述行政或事务性工作的执行主体，而在金融监管语境下，处罚是由监管机构依法作出的行政行为，应使用'作出处罚'、'执行处罚'或'监管主体'等术语。此外，'金融监管处罚'是一个行为或事件，而非一个可以被‘承办’的实体对象，三元组的客体定义模糊。
finance,Exp2,实施依据 --[是]-> 《信托公司管理办法》,0.8,1.0,语义逻辑完全正确。在金融监管知识图谱中，法律法规或规章制度作为监管行为的‘实施依据’，与具体的管理办法之间存在合法的逻辑从属关系。
finance,Exp2,金融监管处罚 --[服务事项]-> 欺诈发行,0.2,0.0,语义逻辑错误。'金融监管处罚'是一种行政行为或法律后果，'欺诈发行'是一种违法违规行为，两者之间不存在'服务事项'的关系。'服务事项'通常用于描述机构为客户提供的业务内容，此处关系类型完全错误。
finance,Exp2,金融监管处罚 --[实施依据]-> 《中华人民共和国保险法》,1.0,1.0,三元组逻辑正确。金融监管处罚的实施必须遵循法律法规，该关系准确描述了行政处罚行为与法律依据之间的从属关系，符合金融监管合规逻辑。
finance,Exp2,行政处罚 --[执行主体]-> 中国人民银行某分行,1.0,1.0,表述准确。在中国金融监管体系中，中国人民银行及其分支机构（如某分行）拥有行政执法权，可以作为行政处罚的执行主体对违规金融机构或个人实施处罚。
finance,Exp2,银保监会某监管局 --[承办机构]-> 金融监管处罚,0.8,0.8,在金融监管实务中，监管局确实是执行具体行政处罚案件的承办主体，语义逻辑合理。但从知识图谱严谨性角度看，'金融监管处罚'通常指代一种行政行为或法律结果，而非一个实体对象，使用'执行'或'实施'关系更为准确。
finance,Exp2,行驶主体 --[是]-> 中国人民银行某分行,0.2,0.0,语义完全错误。'行驶主体'属于交通运输领域术语，与金融机构'中国人民银行某分行'之间不存在任何逻辑或语义上的关联，属于领域错配。
finance,Exp2,承办机构 --[是]-> 中国人民银行,0.2,0.0,语义逻辑错误。'承办机构'是一个功能性角色或属性，而非一个具体的机构实体，且中国人民银行作为中央银行，是监管和宏观调控的核心机构，在金融语境下通常是‘承办方’或‘监管方’，而非被描述为‘承办机构’这一抽象概念。此外，该三元组缺乏主语实体，无法构成有效的金融逻辑关系。
finance,Exp2,金融监管处罚 --[涉及事项]-> 操纵市场价格,1.0,1.0,三元组语义逻辑正确。在金融监管语境下，“金融监管处罚”作为一种监管行为或结果，“涉及事项”准确地指向了触发该处罚的具体违法违规行为（操纵市场价格），符合金融监管术语规范和业务逻辑。
finance,Exp2,承办机构 --[是]-> 省地方金融监管局,0.2,0.0,语义逻辑错误。'承办机构'是一个功能性角色描述，而非具体的金融机构实体类型；且'省地方金融监管局'属于行政监管机构，在金融监管体系中，监管机构是规则的制定者和执行者，而非业务活动的'承办方'，两者之间不存在'是'这种等价的属性关系。
finance,Exp2,行政处罚 --[实施依据]-> 《中华人民共和国反洗钱法》,1.0,1.0,语义逻辑完全正确。在金融监管语境下，行政处罚的实施必须具备法律依据，该三元组准确表达了处罚行为与法律条文之间的依据关系。
finance,Exp2,行驶主体 --[是]-> 中国人民银行,0.0,0.0,语义完全错误。'行驶主体'属于交通运输领域术语，与金融监管机构'中国人民银行'之间不存在任何逻辑或语义上的从属、属性或关联关系，属于领域错配。
finance,Exp2,权力类型 --[是]-> 行政处罚,0.4,0.4,语义逻辑错误。'行政处罚'是一种法律行为或监管结果，而非'权力类型'的子集。在金融监管语境下，应表述为'监管机构--[行使]-->行政处罚权'或'行政处罚--[属于]-->行政执法行为'，原三元组将行为属性与权力类型混淆。
finance,Exp2,承办机构 --[是]-> 省地方金融监管局,0.0,0.2,语义逻辑错误。'承办机构'通常指执行具体业务或活动的组织，而'省地方金融监管局'是行政监管机关，两者并非等价或从属关系，'是'字连接导致语义变成了‘监管局本身就是一个承办机构’，不符合金融监管术语逻辑。
finance,Exp2,承办机构 --[是]-> 证监会,0.2,0.0,语义逻辑错误。证监会（中国证券监督管理委员会）是国家金融监管机构，属于行政管理机关，而非由其他机构‘承办’的对象。在金融语境下，‘承办机构’通常指执行具体业务或活动的执行方，而证监会是规则制定者和监管者，两者不存在‘承办机构是证监会’的逻辑关系。
finance,Exp2,实施依据 --[是]-> 《期货交易管理条例》,1.0,1.0,语义逻辑完全正确。在金融监管知识图谱中，监管行为或行政处罚必须具备法律依据，该三元组准确表达了行政行为与上位法之间的逻辑关系。
finance,Exp2,行政处罚 --[实施依据]-> 《关于规范民间借贷行为的通知》,0.8,0.4,语义逻辑错误。‘行政处罚’是监管行为的结果或动作，而‘《关于规范民间借贷行为的通知》’是法律法规或规范性文件，两者之间应为‘依据’或‘适用法律/法规’的关系，而非‘实施依据’这一动作指向。在知识图谱中，应表述为‘行政处罚 --[依据]-> 规范性文件’，当前的谓语关系在逻辑上将处罚行为本身作为了实施依据的来源，表述不准确。
finance,Exp2,市地方金融监管局 --[承办机构]-> 金融监管处罚,0.8,0.4,“承办机构”并非金融监管领域的标准术语，且“金融监管处罚”属于行政行为或事件，而非一个可以被“承办”的实体对象。在知识图谱中，应表述为“市地方金融监管局 --[执行/实施]-> 金融监管处罚”或“市地方金融监管局 --[负责]-> 某项处罚事项”，原三元组存在语义逻辑模糊和术语使用不规范的问题。
finance,Exp2,外汇管理局 --[行驶主体]-> 金融监管处罚,0.8,0.2,语义逻辑错误。'行驶主体'并非金融领域的标准术语，且'外汇管理局'与'金融监管处罚'之间并非主体与行为的关系，应为'执行主体'或'实施机构'，且三元组结构表达模糊，无法准确描述监管行为。
finance,Exp2,金融监管处罚 --[包括]-> 资金池业务违规,1.0,0.4,语义逻辑错误。'金融监管处罚'是一种行政行为或法律后果，而'资金池业务违规'是一种违规事实或行为性质。两者之间不是'包括'的包含关系，应当是'因...受到处罚'或'处罚原因包括...'的逻辑关系。
finance,Exp2,权力类型 --[是]-> 行政处罚,0.4,0.4,语义逻辑错误。'行政处罚'是一种法律行为或监管结果，而'权力类型'是属性分类，两者之间不存在'是'这种逻辑包含关系。正确的表达应为'行政处罚属于行政权力的一种'或'行政处罚的类型为...'。
finance,Exp2,证监会某监管局 --[承办机构]-> 金融监管处罚,1.0,0.4,语义逻辑不匹配。'承办机构'通常用于描述行政流程中的执行主体，而'金融监管处罚'是一个法律行为或行政结果，而非一个可以被承办的实体对象。在知识图谱中，应表述为'证监会某监管局 --[执行/实施]-> 金融监管处罚'或'金融监管处罚 --[执行主体]-> 证监会某监管局'。
finance,Exp3,行政处罚 --[针对]-> 挪用客户资金,1.0,0.2,语义逻辑错误。'行政处罚'是监管行为的结果或动作，'挪用客户资金'是违规行为（事实/罪名），两者之间不是‘针对’的关系，正确的逻辑应该是‘针对挪用客户资金的行为进行行政处罚’，或者三元组应表述为‘监管机构 --[对]--> 某机构 --[因]--> 挪用客户资金’。当前三元组将动作结果与违规事实直接建立针对关系，不符合知识图谱的实体-关系-实体逻辑。
