id,domain,triple,annotator1_score,annotator2_score,annotator3_score,annotator1_note,annotator2_note
130,环境,某镇环保站 --[类型]-> 镇级环保机构,1.0,1.0,1.0,机构分类准确,
131,环境,环境应急中心 --[是]-> 实施依据来源,0.6,0.4,0.4,部分情形可提供依据来源，表述笼统,应急中心不是实施依据来源
132,环境,环境执法处罚 --[服务事项]-> 超标排放废水,0.2,0.6,0.4,处罚≠服务事项，关系错误,
133,环境,环境执法处罚 --[服务事项]-> 畜禽粪污直排入河,0.2,0.6,0.4,同上错误,
134,金融,服务事项 --[是]-> 金融监管处罚,0.4,0.4,0.6,从属颠倒,
135,环境,"行驶主体 --[是]-> ""环境监察支队""",0.4,0.8,0.8,从属写反,
136,环境,环境执法处罚 --[实施依据]-> 《中华人民共和国环境保护法》,0.4,1.0,0.2,主谓颠倒,
137,金融,金融监管处罚 --[涉及事项]-> 同业业务违规,1.0,1.0,1.0,准确,
138,政务,服务事项 --[包括]-> 对医疗机构及有医疗卫生人员执业证书的人员未取得药品批准证明文件生产、进口药品,1.0,0.6,0.4,监管处罚属于政务服务事项范畴,太长，但关系不绝对错
139,政务,西安市交通运输综合执法支队 --[承办机构]-> 行政处罚,1.0,0.8,1.0,执法支队承办处罚，准确,
140,环境,环境执法处罚 --[类型]-> 行政处罚,1.0,1.0,0.6,分类正确,
141,金融,金融监管处罚 --[实施依据]-> 《中华人民共和国保险法》,0.4,1.0,0.2,颠倒法条与处罚的依据关系,
142,环境,权力类型 --[是]-> 行政处罚,0.4,1.0,1.0,概念倒置,
143,金融,行驶主体 --[类型]-> 主体,0.2,0.8,0.6,同义赘述，无有效逻辑,
144,金融,外汇管理局 --[类型]-> 行政机关,1.0,1.0,1.0,机构属性正确,
145,环境,环境执法处罚 --[涉及]-> 恶臭污染扰民,1.0,1.0,1.0,准确,
146,政务,《陕西省道路运输管理条例》 --[规定]-> 客运班车应当张贴票价表,1.0,1.0,1.0,法条约束营运规则，正确,
147,金融,实施依据 --[是]-> 《期货交易管理条例》,0.4,0.8,1.0,主谓颠倒,
148,环境,服务事项 --[包括]-> 环境执法处罚：土壤污染未修复,1.0,0.6,0.4,事项归类合理,
149,金融,金融监管处罚 --[包括]-> 资金池业务违规,1.0,1.0,0.6,违规属于处罚覆盖事项,
150,环境,实施依据 --[是]-> 《中华人民共和国环境影响评价法》,0.4,0.8,1.0,颠倒,
151,政务,中华人民共和国水土保持法 --[实施依据]-> 水土保持设施验收备案,1.0,1.0,0.8,法律作为备案法定依据,
152,政务,《中华人民共和国药品管理法》 --[修订时间]-> 2019年,1.0,1.0,1.0,修订年份标注准确,
153,环境,环境执法处罚 --[实施依据]-> 《排污许可管理条例》,0.4,1.0,0.2,颠倒依据关系,
154,政务,综合监督处 --[承办机构]-> 服务事项,0.6,0.8,0.2,处室承办部分事项，表述笼统,
155,金融,金融监管处罚 --[是]-> 行政处罚,0.8,1.0,1.0,属于其中一类，缺 “一种”，轻微表述瑕疵,
156,环境,"行驶主体 --[是]-> ""生态环境综合执法支队""",0.4,0.8,0.8,从属颠倒,
157,政务,实施依据 --[来自]-> 《国务院关于第六批取消和调整行政审批项目的决定》,0.4,0.8,1.0,主谓倒置,
158,金融,实施依据 --[是]-> 《信托公司管理办法》,0.4,0.8,1.0,颠倒,
159,政务,施工 --[参与]-> 服务事项,0.6,0.6,0.4,关联宽泛，指代模糊,
160,政务,经营性人力资源服务机构 --[备案内容]-> 人力资源供求信息的收集和发布,1.0,1.0,1.0,备案内容匹配准确,
161,政务,《中华人民共和国道路交通安全法》 --[规定]-> 公安机关交通管理部门,0.6,0.6,0.6,法条规范交管部门权责，表述简略有歧义,不完整
162,政务,有下列行为之一 --[类型]-> 行为,0.2,0.8,0.4,重复定义，逻辑无效,
163,金融,承办机构 --[是]-> 中国人民银行,0.4,0.8,1.0,从属颠倒,
164,政务,工会组织 --[依法维护]-> 职工的年休假权利,1.0,1.0,1.0,工会法定权责，准确,
165,环境,生态环境部 --[承办机构]-> 环境执法处罚,0.4,0.6,0.8,部委主管不直接承办基层处罚，主体错误,
166,环境,"行驶主体 --[是]-> ""市生态环境局""",0.4,0.8,0.8,从属颠倒,
167,金融,中国人民银行某分行 --[承办机构]-> 金融监管处罚,1.0,0.8,1.0,分支机构承办对应处罚,
168,环境,镇环保所 --[是]-> 行驶主体,0.8,0.8,0.6,具备执法主体资格，少 “执法” 二字轻微不准,
169,政务,市农业综合执法支队 --[承办机构]-> 服务事项,0.6,0.6,0.6,笼统表述，部分涉农事项由其承办,
170,金融,证监会某监管局 --[承办机构]-> 行政处罚,1.0,0.8,1.0,准确,
171,金融,证监会某监管局 --[承办机构]-> 金融监管处罚,1.0,0.8,1.0,准确,
172,金融,行政处罚 --[执行主体]-> 中国人民银行某分行,0.4,1.0,1.0,颠倒：分行是处罚执行主体,
173,政务,承办机构 --[是]-> 燃气热力管理处,0.4,0.8,1.0,从属颠倒,
174,环境,实施依据 --[是]-> 《中华人民共和国环境保护法》,0.4,0.8,1.0,颠倒,
175,金融,操纵市场价格 --[类型]-> 违法行为,1.0,1.0,1.0,定性准确,
176,金融,银保监会某监管局 --[承办机构]-> 行政处罚,1.0,0.8,1.0,准确,
177,环境,承办机构 --[类型]-> 组织机构,0.8,1.0,1.0,大类归类正确，表述简略轻微瑕疵,
178,金融,承办机构 --[是]-> 中国人民银行,0.4,0.8,1.0,从属颠倒,
179,政务,服务事项 --[涉及]-> 施工单位,0.6,0.8,0.8,关联笼统有歧义,
180,环境,水利局 --[执行]-> 环境执法处罚,0.4,0.8,0.4,水利局无该项执行权限，主体错误,
