item_id,method,case_id,operation,triple,occurrence
edit-011,archived_simple,government-1b02073ace3b,add,"{""head"": ""Document:government-1b02073ace3b:对有色企业铝加工深井铸造机钢丝卷扬系统选用非钢芯钢丝绳，或者未落实 钢丝绳定期检查、更换制度的行政处罚"", ""relation"": ""责任事项"", ""tail"": ""调查阶段责任：对立案的案件，指定专人负责，执法人员不得少于两人，与当事人有直接利害关系的应当回避。调查时出示执法证件，允许当事人陈述和申辩；行政机关在收集证据时，可以采取抽样取证的方法；调查终结后，拟写调查报告，并按程序审批""}",0
edit-012,archived_simple,government-1b02073ace3b,add,"{""head"": ""Document:government-1b02073ace3b:对有色企业铝加工深井铸造机钢丝卷扬系统选用非钢芯钢丝绳，或者未落实 钢丝绳定期检查、更换制度的行政处罚"", ""relation"": ""责任事项"", ""tail"": ""审查阶段责任：审查调查终结报告，对案件违法事实、证据、调查取证程序、法律适用处罚种类和幅度、当事人陈述申辩理由等方面进行审查，根据不同情况作出决定""}",0
edit-013,archived_simple,government-3a91e39dc5b5,add,"{""head"": ""Document:government-3a91e39dc5b5:出入境通行证核发"", ""relation"": ""责任事项"", ""tail"": ""决定阶段责任：作出决定（不予行政许可的应当告知理由）；按时办结""}",0
edit-014,archived_simple,government-ada4294cd92d,add,"{""head"": ""Document:government-ada4294cd92d:对旅行社委派的导游人员和领队人员未持有国家规定的导游证或者不具备领队条件的行政处罚"", ""relation"": ""责任事项"", ""tail"": ""调查阶段责任""}",0
edit-015,archived_simple,government-b7c8f18f7b98,add,"{""head"": ""Document:government-b7c8f18f7b98:对生产经营被包装材料、容器、运输工具等污染的食品、食品添加剂；生产经营无标签的预包装食品、食品添加剂或者标签、说明书不符合本法规定的食品、食品添加剂；生产经营转基因食品未按规定进行标示；食品生产经营者"", ""relation"": ""责任事项"", ""tail"": ""立案阶段责任：对经核查有证据初步证明存在违反市场监督管理法律、法规、规章的行为，应当立案查处。调查阶段责任：市场监管部门决定立案查处的案件，应指定两名以上具有行政执法资格的办案人员负责调查处理。审查阶段责任：市场监管部门根据调查取证结果，对案件违法事实、依据、调查取证程序、法律适用、处罚种类和幅度、当事人陈述和申辩理由等方面进行审查。决定阶段责任：调查审查结束后，调查人员应当将调查审查情况及处理意见报市场监督管理部门负责人审批""}",0
edit-016,gemma_diagnosis_gate,government-28de1bc53024,add,"{""head"": ""Document:government-28de1bc53024:扣押涉案的财物"", ""relation"": ""实施依据"", ""tail"": ""《中华人民共和国治安管理处罚法》 第八十九条""}",0
edit-017,archived_simple,government-1872a3147127,add,"{""head"": ""Document:government-1872a3147127:对通过逃避监管方式排放污染物的行政处罚"", ""relation"": ""责任事项"", ""tail"": ""送达责任：行政处罚决定应当当场交付当事人或在七日内送达当事人""}",0
edit-018,gemma_shacl_context_gate,government-2ae5e35394e4,remove,"{""head"": ""Document:government-2ae5e35394e4:对特种设备过户使用未进行变更登记，或者特种设备重新安装未进行登记的行政处罚"", ""relation"": ""责任事项"", ""tail"": ""立案阶段责任：对经核查有证据初步证明存在违反市场监督管理法律、法规、规章的行为，应当立案查处。""}",0
edit-019,archived_simple,government-980dec4afb3d,add,"{""head"": ""Document:government-980dec4afb3d:对广告、画廊、牌匾、标语、霓虹灯、灯箱等破损、污浊或显示不全的；封闭阳台不符合规定的；停车场、点的环境卫生不符合规定的在责令改正期限内拒不改正的代为组织清理"", ""relation"": ""监管电话"", ""tail"": ""02986788409""}",0
edit-020,gemma_shacl_context_gate,government-3235e3648e32,add,"{""head"": ""Document:government-3235e3648e32:对未取得生鲜乳收购许可证收购生鲜乳的；或生鲜乳收购站取得生鲜乳收购许可证后，不再符合许可条件继续从事生鲜乳收购的；或生鲜乳收购站收购本条例第二十四条规定禁止收购的生鲜乳的行政处罚"", ""relation"": ""权力类型"", ""tail"": ""行政处罚""}",0
edit-021,archived_diagnosis_gate,government-ff34311b9ccd,remove,"{""head"": ""Document:government-ff34311b9ccd:对旅馆未按照规定向公安机关报送外国人住宿登记信息的处罚"", ""relation"": ""责任事项"", ""tail"": ""受案阶段责任、调查阶段责任、审查阶段责任、告知阶段责任""}",0
edit-022,archived_simple,government-ada4294cd92d,remove,"{""head"": ""Document:government-ada4294cd92d:对旅行社委派的导游人员和领队人员未持有国家规定的导游证或者不具备领队条件的行政处罚"", ""relation"": ""责任事项"", ""tail"": ""立案阶段责任、调查阶段责任、审查阶段责任、决定阶段责任、告知阶段责任、送达阶段责任、执行阶段责任""}",0
edit-023,gemma_base_gate,government-27ceaef34223,add,"{""head"": ""Document:government-27ceaef34223:对民办学校未按照国家统一的会计制度进行会计核算、编制财务会计报告，财务、资产管理混乱，或者违反法律、法规增加收费项目、提高收费标准的处罚"", ""relation"": ""责任事项"", ""tail"": ""1.立案阶段责任：发现违法行为，应予以审查，决定是否立案。 2.调查阶段责任：对立案的案件，指定专人负责，执法人员不得少于两人，与当事人有直接利害关系的应当回避。调查时出示执法证件，保障当事人陈述申辩的权利；行政机关在收集证据时，可以采取抽样取证的方法；调查终结后，拟写调查报告，并按程序审批。 3.审查阶段责任：审查调查终结报告，对案件违法事实、证据、调查取证程序、法律适用处罚种类和幅度、当事人陈述申辩理由等方面进行审查，根据不同情况作出决定。 4.告知阶段责任：作出处罚决定前，应制作《行政处罚预先告知书》，送达当事人，告知当事人违法事实、理由及依据，并告知其享有的陈述、申辩、要求听证等权利；符合听证规定，制作并送达《行政处罚听证告""}",0
edit-024,archived_simple,government-f8e7519208bb,add,"{""head"": ""Document:government-f8e7519208bb:对用人单位使用有毒物品作业场所未按照规定设置警示标识和中文警示说明；未对职业卫生防护设备、应急救援设施、通讯报警装置进行维护、检修和定期检测，导致上述设施处于不正常状态；未依照本条例的规定进行职业中毒"", ""relation"": ""监管电话"", ""tail"": ""02986787652""}",0
edit-025,archived_simple,finance-5179b466c23a,remove,"{""head"": ""Document:finance-5179b466c23a:金融监管处罚：未按规定履行客户身份识别义务"", ""relation"": ""承办机构"", ""tail"": ""证监会""}",0
edit-026,archived_simple,government-6d75a9f8f58a,add,"{""head"": ""Document:government-6d75a9f8f58a:对危险化学品生产企业有未提供化学品安全技术说明书，或者未在包装（包括外包装件）上粘贴、拴挂化学品安全标签等行为的行政处罚"", ""relation"": ""监管电话"", ""tail"": ""029-12345 029-12350""}",0
edit-027,gemma_shacl_context_gate,government-3235e3648e32,add,"{""head"": ""Document:government-3235e3648e32:对未取得生鲜乳收购许可证收购生鲜乳的；或生鲜乳收购站取得生鲜乳收购许可证后，不再符合许可条件继续从事生鲜乳收购的；或生鲜乳收购站收购本条例第二十四条规定禁止收购的生鲜乳的行政处罚"", ""relation"": ""承办机构"", ""tail"": ""市农业综合执法支队""}",0
edit-028,archived_diagnosis_gate,government-3e9dd9632fa8,remove,"{""head"": ""Document:government-3e9dd9632fa8:外国人居留许可证核发"", ""relation"": ""实施依据"", ""tail"": ""《中华人民共和国出境入境管理法》第三十条、第三十一条；《外国人签证证件签发工作规范》第十六条""}",0
edit-029,gemma_shacl_context_gate,government-2b05bdf976f6,add,"{""head"": ""Document:government-2b05bdf976f6:对违反通过网络社交、网络直播等网络服务开展网络交易活动的网络交易经营者，应当以显著方式展示商品或者服务及其实际经营主体、售后服务等信息，或者上述信息的链接标识；网络直播服务提供者对网络交易活动的直播视"", ""relation"": ""行驶主体"", ""tail"": ""西安市市场监督管理局""}",0
edit-030,archived_simple,government-6d75a9f8f58a,add,"{""head"": ""Document:government-6d75a9f8f58a:对危险化学品生产企业有未提供化学品安全技术说明书，或者未在包装（包括外包装件）上粘贴、拴挂化学品安全标签等行为的行政处罚"", ""relation"": ""实施依据"", ""tail"": ""《危险化学品安全管理条例》(国务院令第 344 号公布，2013 年 12 月 7 日《国务院关于修改部分行政法规的决定》修订) 第七十八条第一款第三项、第四项、第五项、第六项、第七项、第九项、第十项、第十一项""}",0
edit-031,archived_simple,government-ada4294cd92d,add,"{""head"": ""Document:government-ada4294cd92d:对旅行社委派的导游人员和领队人员未持有国家规定的导游证或者不具备领队条件的行政处罚"", ""relation"": ""责任事项"", ""tail"": ""审查阶段责任""}",0
edit-032,archived_diagnosis_gate,government-3235e3648e32,add,"{""head"": ""Document:government-3235e3648e32:对未取得生鲜乳收购许可证收购生鲜乳的；或生鲜乳收购站取得生鲜乳收购许可证后，不再符合许可条件继续从事生鲜乳收购的；或生鲜乳收购站收购本条例第二十四条规定禁止收购的生鲜乳的行政处罚"", ""relation"": ""监管电话"", ""tail"": ""029-87403928""}",0
edit-033,gemma_shacl_context_gate,government-3235e3648e32,add,"{""head"": ""Document:government-3235e3648e32:对未取得生鲜乳收购许可证收购生鲜乳的；或生鲜乳收购站取得生鲜乳收购许可证后，不再符合许可条件继续从事生鲜乳收购的；或生鲜乳收购站收购本条例第二十四条规定禁止收购的生鲜乳的行政处罚"", ""relation"": ""监管电话"", ""tail"": ""029-87403928""}",0
edit-034,archived_simple,government-3a5514dd8f33,add,"{""head"": ""Document:government-3a5514dd8f33:对采购人、采购代理机构拒收质疑供应商在法定质疑期内发出的质疑函， 对质疑不予答复或者答复与事实明显不符并不能作出合理说明， 拒绝配合财政部门处理投诉事宜的处罚"", ""relation"": ""责任事项"", ""tail"": ""立案责任：对采购人、采购代理机构拒收质疑供应商在法定质疑期内发出的质疑函；对质疑不予答复或者答复与事实明显不符，并不能作出合理说明；拒绝配合财政部门处理投诉事宜，拒绝有关部门依法实施监督检查的，予以审查，决定是否立案。调查责任：必须全面、客观、公正地进行调查，收集证据。在调查、询问时，执法人员不得少于两人，并应当向当事人或者有关人员出示证件，询问当事人应当制作笔录。执法人员与当事人有直接利害关系的，应当回避。审查责任：针对案件的违法事实、证据材料、当事人陈述和申辩以及如何适用法律提出处理意见，提交行政机关负责人进行审查，对情节复杂或者重大违法行为给予较重的行政处罚，提交行政机关负责人集体讨论决定。""}",0
edit-035,archived_diagnosis_gate,government-b396117a0806,remove,"{""head"": ""Document:government-b396117a0806:对将列入限期淘汰目录被淘汰的设备转让给他人使用的行政处罚"", ""relation"": ""责任事项"", ""tail"": ""立案阶段责任：行政处罚应当在法定期限内立案；调查阶段责任：对登记立案的环境违法行为，应当全面、客观、公正地调查，收集有关证据；审查阶段责任：作出行政处罚决定前，依法应当进行案件审查，符合法制审核或集体讨论条件的应当及时提交法制审核或集体讨论；告知责任：行政处罚应当告知当事人权利救济途径及方式；决定阶段责任：对于立案的环境行政案件应当在立案之日起九十日内作出处理决定；送达责任：行政处罚决定应当当场交付当事人或在七日内送达当事人；执行阶段责任：当事人到期不缴纳罚款的，可以每日按罚款数额的百分之三加处罚款，加处罚款的数额不得超出罚款的数额""}",0
edit-036,archived_simple,government-3e9dd9632fa8,add,"{""head"": ""Document:government-3e9dd9632fa8:外国人居留许可证核发"", ""relation"": ""实施依据"", ""tail"": ""《外国人签证证件签发工作规范》第十六条""}",0
edit-037,archived_diagnosis_gate,government-75bedf0d3f3c,remove,"{""head"": ""Document:government-75bedf0d3f3c:对伪造、变造、倒卖、出租、出借废弃电器电子产品处理资格证书等行为的行政处罚"", ""relation"": ""实施依据"", ""tail"": ""《废弃电器电子产品处理资格许可管理办法》（环境保护部令第13号，2011年施行）第二十四条""}",0
edit-038,archived_diagnosis_gate,government-488d64df832f,remove,"{""head"": ""Document:government-488d64df832f:对未取得相应资质，擅自从事城市绿化设计和监理的行政处罚"", ""relation"": ""责任事项"", ""tail"": ""立案阶段责任、调查阶段责任、审查阶段责任、告知阶段责任""}",0
edit-039,archived_simple,government-f6ff98e6b329,remove,"{""head"": ""Document:government-f6ff98e6b329:对拒不履行土地复垦义务的行政处罚"", ""relation"": ""责任事项"", ""tail"": ""立案阶段责任：发现涉嫌违法的行为予以审查，决定是否立案""}",0
edit-040,archived_simple,government-267561303433,add,"{""head"": ""Document:government-267561303433:对水利领域转让、出借资质证书或者以其他方式允许他人以本企业的名义承揽工程、投标等行为的行政处罚"", ""relation"": ""责任事项"", ""tail"": ""立案阶段责任：发现涉嫌违法的行为予以审查，决定是否立案""}",0
edit-041,gemma_base_gate,government-2b05bdf976f6,add,"{""head"": ""Document:government-2b05bdf976f6:对违反通过网络社交、网络直播等网络服务开展网络交易活动的网络交易经营者，应当以显著方式展示商品或者服务及其实际经营主体、售后服务等信息，或者上述信息的链接标识；网络直播服务提供者对网络交易活动的直播视"", ""relation"": ""责任事项"", ""tail"": ""1.立案阶段责任：对经核查有证据初步证明存在违反市场监督管理法律、法规、规章的行为，应当立案查处。 2.调查阶段责任：市场监管部门决定立案查处的案件，应指定两名以上具有行政执法资格的办案人员负责调查处理。办案人员应当全面、客观、公正、及时进行案件调查，收集、调取证据，并依照法律、法规、规章的规定进行检查。 3.审查阶段责任：市场监管部门根据调查取证结果，对案件违法事实、依据、调查取证程序、法律适用、处罚种类和幅度、当事人陈述和申辩理由等方面进行审查，提出处理意见。 4.决定阶段责任：调查审查结束后，调查人员应当将调查审查情况及处理意见报市场监督管理部门负责人审批。情节复杂或者重大违法行为在负责人作出行政处罚决定前应当进行法制审核。""}",0
edit-042,gemma_shacl_context_gate,government-1872a3147127,remove,"{""head"": ""Document:government-1872a3147127:对通过逃避监管方式排放污染物的行政处罚"", ""relation"": ""责任事项"", ""tail"": ""立案阶段责任：行政处罚应当在法定期限内立案""}",0
edit-043,archived_simple,government-4e8efca9eb4c,add,"{""head"": ""Document:government-4e8efca9eb4c:对水利领域依法必须进行招标的项目，招标人不按照规定组建评标委员会，或者确定、更换评标委员会成员违反招标投标法和招标投标法实施条例规定行为的行政处罚"", ""relation"": ""责任事项"", ""tail"": ""审查阶段责任：对案件违法事实、证据、调查取证程序、法律适用、处罚种类和幅度、当事人陈述和申辩理由等方面进行审查""}",0
edit-044,archived_diagnosis_gate,government-ada4294cd92d,remove,"{""head"": ""Document:government-ada4294cd92d:对旅行社委派的导游人员和领队人员未持有国家规定的导游证或者不具备领队条件的行政处罚"", ""relation"": ""责任事项"", ""tail"": ""立案阶段责任、调查阶段责任、审查阶段责任、决定阶段责任、告知阶段责任、送达阶段责任、执行阶段责任""}",0
edit-045,archived_simple,government-3235e3648e32,add,"{""head"": ""Document:government-3235e3648e32:对未取得生鲜乳收购许可证收购生鲜乳的；或生鲜乳收购站取得生鲜乳收购许可证后，不再符合许可条件继续从事生鲜乳收购的；或生鲜乳收购站收购本条例第二十四条规定禁止收购的生鲜乳的行政处罚"", ""relation"": ""权力类型"", ""tail"": ""行政处罚""}",0
edit-046,archived_diagnosis_gate,environment-7cc9ffda6577,add,"{""head"": ""Document:environment-7cc9ffda6577:环境执法处罚：篡改伪造监测数据"", ""relation"": ""责任事项"", ""tail"": ""违法主体：某危废处置中心 违法行为：篡改伪造监测数据 处罚类型：行政拘留 处罚金额：3万元 污染物：氰化物 处罚日期：2024-07-05 案件编号：环监罚字[2023]106号""}",0
edit-047,archived_diagnosis_gate,government-7e9b1177c4f5,remove,"{""head"": ""Document:government-7e9b1177c4f5:对贮存易产生扬尘物料未采取有效措施防治扬尘污染的行政处罚"", ""relation"": ""实施依据"", ""tail"": ""《中华人民共和国大气污染防治法》（2018年修正）第一百一十七条第一项、第二项、第一百二十三条第四项""}",0
edit-048,archived_simple,government-91a0194e75d5,add,"{""head"": ""Document:government-91a0194e75d5:工伤职工康复鉴定"", ""relation"": ""责任事项"", ""tail"": ""审查阶段责任：对行政相对人申报的工伤职工康复鉴定材料进行现场初审，提出审查意见""}",0
edit-049,archived_simple,government-2fc4dd65e576,add,"{""head"": ""Document:government-2fc4dd65e576:对鉴定人和鉴定机构违法行为的行政处罚"", ""relation"": ""责任事项"", ""tail"": ""立案责任""}",0
edit-050,archived_simple,government-267561303433,add,"{""head"": ""Document:government-267561303433:对水利领域转让、出借资质证书或者以其他方式允许他人以本企业的名义承揽工程、投标等行为的行政处罚"", ""relation"": ""责任事项"", ""tail"": ""送达阶段责任：依法送达行政处罚决定书""}",0
edit-051,archived_simple,government-b7c8f18f7b98,add,"{""head"": ""Document:government-b7c8f18f7b98:对生产经营被包装材料、容器、运输工具等污染的食品、食品添加剂；生产经营无标签的预包装食品、食品添加剂或者标签、说明书不符合本法规定的食品、食品添加剂；生产经营转基因食品未按规定进行标示；食品生产经营者"", ""relation"": ""承办机构"", ""tail"": ""综合执法支队""}",0
edit-052,archived_simple,government-ff34311b9ccd,add,"{""head"": ""Document:government-ff34311b9ccd:对旅馆未按照规定向公安机关报送外国人住宿登记信息的处罚"", ""relation"": ""责任事项"", ""tail"": ""审查阶段责任""}",0
edit-053,archived_simple,government-3235e3648e32,add,"{""head"": ""Document:government-3235e3648e32:对未取得生鲜乳收购许可证收购生鲜乳的；或生鲜乳收购站取得生鲜乳收购许可证后，不再符合许可条件继续从事生鲜乳收购的；或生鲜乳收购站收购本条例第二十四条规定禁止收购的生鲜乳的行政处罚"", ""relation"": ""监管电话"", ""tail"": ""029-87403928""}",0
edit-054,gemma_shacl_context_gate,government-2fc4dd65e576,remove,"{""head"": ""Document:government-2fc4dd65e576:对鉴定人和鉴定机构违法行为的行政处罚"", ""relation"": ""实施依据"", ""tail"": ""《陕西省司法鉴定管理条例》(陕西省人民代表大会常务委员会公告【十一届】第35号)第四十九条""}",0
edit-055,archived_simple,government-3e9dd9632fa8,add,"{""head"": ""Document:government-3e9dd9632fa8:外国人居留许可证核发"", ""relation"": ""责任事项"", ""tail"": ""受理阶段责任""}",0
edit-056,gemma_shacl_context_gate,government-27ceaef34223,add,"{""head"": ""Document:government-27ceaef34223:对民办学校未按照国家统一的会计制度进行会计核算、编制财务会计报告，财务、资产管理混乱，或者违反法律、法规增加收费项目、提高收费标准的处罚"", ""relation"": ""承办机构"", ""tail"": ""劳动保障监察执法处""}",0
edit-057,gemma_shacl_context_gate,government-28de1bc53024,add,"{""head"": ""Document:government-28de1bc53024:扣押涉案的财物"", ""relation"": ""实施依据"", ""tail"": ""《中华人民共和国治安管理处罚法》 第八十九条""}",0
edit-058,gemma_base_gate,government-2b05bdf976f6,add,"{""head"": ""Document:government-2b05bdf976f6:对违反通过网络社交、网络直播等网络服务开展网络交易活动的网络交易经营者，应当以显著方式展示商品或者服务及其实际经营主体、售后服务等信息，或者上述信息的链接标识；网络直播服务提供者对网络交易活动的直播视"", ""relation"": ""实施依据"", ""tail"": ""《网络交易监督管理办法》（国家市场监督管理总局令第37号发布，2021.05.01施行） 第四十五条 网络交易经营者违反本办法第二十条，法律、行政法规有规定的，依照其规定；法律、行政法规没有规定的，由市场监督管理部门责令限期改正；逾期不改正的，处一万元以下罚款。 第二十条 通过网络社交、网络直播等网络服务开展网络交易活动的网络交易经营者，应当以显著方式展示商品或者服务及其实际经营主体、售后服务等信息，或者上述信息的链接标识。 网络直播服务提供者对网络交易活动的直播视频保存时间自直播结束之日起不少于三年。。""}",0
edit-059,archived_diagnosis_gate,government-8b3b3df5b753,remove,"{""head"": ""Document:government-8b3b3df5b753:教师资格认定"", ""relation"": ""实施依据"", ""tail"": ""《中华人民共和国教师法》（2009年修正）""}",0
edit-060,archived_simple,government-6e3b3a7375ca,add,"{""head"": ""Document:government-6e3b3a7375ca:对眼镜制配者违反规定，拒不提供眼镜制配账目，使违法所得难以计算的行政处罚"", ""relation"": ""责任事项"", ""tail"": ""立案阶段责任：对经核查有证据初步证明存在违反市场监督管理法律、法规、规章的行为，应当立案查处。调查阶段责任：市场监管部门决定立案查处的案件，应指定两名以上具有行政执法资格的办案人员负责调查处理。办案人员应当全面、客观、公正、及时进行案件调查，收集、调取证据，并依照法律、法规、规章的规定进行检查。审查阶段责任：市场监管部门根据调查取证结果，对案件违法事实、依据、调查取证程序、法律适用、处罚种类和幅度、当事人陈述和申辩理由等方面进行审查，提出处理意见。决定阶段责任：调查审查结束后，调查人员应当将调查审查情况及处理意见报市场监督管理部门负责人审批。情节复杂或者重大违法行为在负责人作出行政处罚决定前应当进行法制审核。""}",0
edit-061,archived_diagnosis_gate,government-980dec4afb3d,add,"{""head"": ""Document:government-980dec4afb3d:对广告、画廊、牌匾、标语、霓虹灯、灯箱等破损、污浊或显示不全的；封闭阳台不符合规定的；停车场、点的环境卫生不符合规定的在责令改正期限内拒不改正的代为组织清理"", ""relation"": ""承办机构"", ""tail"": ""环境卫生管理处、广告牌匾管理处""}",0
edit-062,archived_diagnosis_gate,government-6d75a9f8f58a,add,"{""head"": ""Document:government-6d75a9f8f58a:对危险化学品生产企业有未提供化学品安全技术说明书，或者未在包装（包括外包装件）上粘贴、拴挂化学品安全标签等行为的行政处罚"", ""relation"": ""行驶主体"", ""tail"": ""市应急管理局""}",0
edit-063,archived_simple,government-a5edaa7050d2,add,"{""head"": ""Document:government-a5edaa7050d2:对使用不符合农业机械安全技术标准的配件维修农业机械，或者拼装、改装农业机械整机，或者承揽维修已经达到报废条件的农业机械的行政处罚"", ""relation"": ""实施依据"", ""tail"": ""《农业机械维修管理规定》（2006年5月农业部、工商总局令第57号公布，2019年4月农业农村部令2019年第2号第二次修订）第九条""}",0
edit-064,archived_simple,government-f75d2fddf269,add,"{""head"": ""Document:government-f75d2fddf269:人力资源服务企业备案"", ""relation"": ""责任事项"", ""tail"": ""决定阶段责任：依法出具人力资源服务备案回执书""}",0
edit-065,archived_simple,government-2fc4dd65e576,remove,"{""head"": ""Document:government-2fc4dd65e576:对鉴定人和鉴定机构违法行为的行政处罚"", ""relation"": ""责任事项"", ""tail"": ""立案责任、调查责任、审理责任、告知责任""}",0
edit-066,archived_simple,government-7e30032da8be,add,"{""head"": ""Document:government-7e30032da8be:对招标人以不合理的条件限制或者排斥潜在投标人的，对潜在投标人实行歧视待遇的，强制要求投标人组成联合体共同投标的，或者限制投标人之间竞争的处罚"", ""relation"": ""责任事项"", ""tail"": ""立案责任：发现涉嫌违法的行为予以审查，决定是否立案。调查责任：对立案的案件及时组织调查取证。执法人员不得少于两人，调查时应出示执法证件，保障当事人辩解及陈述的权利。审查责任：对案件违法事实、证据、调查取证程序、法律适用、处罚种类和幅度、当事人陈述和申辩理由等方面进行审查。决定责任：作出行政处罚决定，制作行政处罚决定书，载明行政处罚告知、当事人陈述申辩等内容。告知责任：作出行政处罚决定前，应制作《行政处罚告知书》送达当事人，告知违法事实及其享有的陈述权、申辩权、要求听证权、申请行政复议权、提起行政诉讼等权利。送达责任：依法送达行政处罚决定书。执行责任：依照生效行政处罚决定书执行。""}",0
edit-067,gemma_shacl_context_gate,government-38d8e7495369,add,"{""head"": ""Document:government-38d8e7495369:对种植不符合耕地种植用途管控要求作物的行政处罚"", ""relation"": ""责任事项"", ""tail"": ""1.立案阶段责任：发现涉嫌违法的行为应在7日内（特殊情况经批准可延长7日）予以核查，决定是否立案。""}",0
edit-068,archived_simple,government-6e3b3a7375ca,remove,"{""head"": ""Document:government-6e3b3a7375ca:对眼镜制配者违反规定，拒不提供眼镜制配账目，使违法所得难以计算的行政处罚"", ""relation"": ""责任事项"", ""tail"": ""立案阶段责任：对经核查有证据初步证明存在违反市场监督管理法律、法规、规章的行为，应当立案查处。调查阶段责任：市场监管部门决定立案查处的案件，应指定两名以上具有行政执法资格的办案人员负责调查处理。审查阶段责任：市场监管部门根据调查取证结果，对案件违法事实、依据、调查取证程序、法律适用、处罚种类和幅度、当事人陈述和申辩理由等方面进行审查。决定阶段责任：调查审查结束后，调查人员应当将调查审查情况及处理意见报市场监督管理部门负责人审批。""}",0
